District,VDC Code,VDC,Ward,HH,Total,Male,Female
Nuwakot,42,Okharpauwa,9,46,239,133,106
Nuwakot,43,Panchkanya,1,85,447,222,225
Nuwakot,43,Panchkanya,2,53,289,145,144
Nuwakot,43,Panchkanya,3,35,173,85,88
Nuwakot,43,Panchkanya,4,59,276,137,139
Nuwakot,43,Panchkanya,5,48,255,125,130
Nuwakot,43,Panchkanya,6,50,240,122,118
Nuwakot,43,Panchkanya,7,46,226,119,107
Nuwakot,43,Panchkanya,8,90,394,196,198
Nuwakot,43,Panchkanya,9,78,375,170,205
Nuwakot,44,Ralukadevi,1,86,352,183,169
Nuwakot,44,Ralukadevi,2,154,755,384,371
Nuwakot,44,Ralukadevi,3,87,466,234,232
Nuwakot,44,Ralukadevi,4,95,429,208,221
Nuwakot,44,Ralukadevi,5,69,357,189,168
Nuwakot,44,Ralukadevi,6,134,650,321,329
Nuwakot,44,Ralukadevi,7,116,597,297,300
Nuwakot,44,Ralukadevi,8,63,361,174,187
Nuwakot,44,Ralukadevi,9,112,596,309,287
Nuwakot,45,Ratmate,1,117,512,226,286
Nuwakot,45,Ratmate,2,66,290,134,156
Nuwakot,45,Ratmate,3,98,433,223,210
Nuwakot,45,Ratmate,4,81,351,172,179
Nuwakot,45,Ratmate,5,42,156,69,87
Nuwakot,45,Ratmate,6,74,345,153,192
Nuwakot,45,Ratmate,7,99,463,209,254
Nuwakot,45,Ratmate,8,105,513,235,278
Nuwakot,45,Ratmate,9,140,730,348,382
Nuwakot,46,Rautbesi,1,108,554,278,276
Nuwakot,46,Rautbesi,2,37,206,109,97
Nuwakot,46,Rautbesi,3,47,233,113,120
Nuwakot,46,Rautbesi,4,79,395,198,197
Nuwakot,46,Rautbesi,5,63,372,181,191
Nuwakot,46,Rautbesi,6,81,434,223,211
Nuwakot,46,Rautbesi,7,63,335,163,172
Nuwakot,46,Rautbesi,8,34,148,76,72
Nuwakot,46,Rautbesi,9,142,760,390,370
Nuwakot,47,Salme,1,20,98,46,52
Nuwakot,47,Salme,2,35,199,96,103
Nuwakot,47,Salme,3,19,97,47,50
Nuwakot,47,Salme,4,60,340,178,162
Nuwakot,47,Salme,5,59,315,170,145
Nuwakot,47,Salme,6,34,174,80,94
Nuwakot,47,Salme,7,36,172,78,94
Nuwakot,47,Salme,8,76,378,166,212
Nuwakot,47,Salme,9,83,413,202,211
Nuwakot,48,Samari,1,91,377,161,216
Nuwakot,48,Samari,2,165,644,291,353
Nuwakot,48,Samari,3,137,544,249,295
Nuwakot,48,Samari,4,124,555,250,305
Nuwakot,48,Samari,5,193,905,429,476
Nuwakot,48,Samari,6,166,718,312,406
Nuwakot,48,Samari,7,101,474,206,268
Nuwakot,48,Samari,8,137,686,343,343
Nuwakot,48,Samari,9,93,401,167,234
Nuwakot,49,Samundradevi,1,75,320,151,169
Nuwakot,49,Samundradevi,2,80,373,170,203
Nuwakot,49,Samundradevi,3,116,545,261,284
Nuwakot,49,Samundradevi,4,87,394,189,205
Nuwakot,49,Samundradevi,5,75,332,159,173
Nuwakot,49,Samundradevi,6,57,222,99,123
Nuwakot,49,Samundradevi,7,43,179,82,97
Nuwakot,49,Samundradevi,8,86,353,176,177
Nuwakot,49,Samundradevi,9,81,335,153,182
Nuwakot,50,Samundratar,1,40,168,74,94
Nuwakot,50,Samundratar,2,67,265,122,143
Nuwakot,50,Samundratar,3,26,125,65,60
Nuwakot,50,Samundratar,4,46,219,102,117
Nuwakot,50,Samundratar,5,46,212,93,119
Nuwakot,50,Samundratar,6,50,248,102,146
Nuwakot,50,Samundratar,7,102,426,213,213
Nuwakot,50,Samundratar,8,43,187,87,100
Nuwakot,50,Samundratar,9,30,147,68,79
Nuwakot,51,Shikharbesi,1,114,468,250,218
Nuwakot,51,Shikharbesi,2,70,351,185,166
Nuwakot,51,Shikharbesi,3,75,338,166,172
Nuwakot,51,Shikharbesi,4,72,402,211,191
Nuwakot,51,Shikharbesi,5,69,282,125,157
Nuwakot,51,Shikharbesi,6,96,418,192,226
Nuwakot,51,Shikharbesi,7,65,293,150,143
Nuwakot,51,Shikharbesi,8,105,574,321,253
Nuwakot,51,Shikharbesi,9,80,408,215,193
Nuwakot,52,Sikre,1,55,256,111,145
Nuwakot,52,Sikre,2,38,184,76,108
Nuwakot,52,Sikre,3,42,183,86,97
Nuwakot,52,Sikre,4,45,188,83,105
Nuwakot,52,Sikre,5,42,185,87,98
Nuwakot,52,Sikre,6,28,125,59,66
Nuwakot,52,Sikre,7,53,194,87,107
Nuwakot,52,Sikre,8,44,159,75,84
Nuwakot,52,Sikre,9,23,108,41,67
Nuwakot,53,Sundaradevi,1,68,346,164,182
Nuwakot,53,Sundaradevi,2,115,484,243,241
Nuwakot,53,Sundaradevi,3,32,161,76,85
Nuwakot,53,Sundaradevi,4,67,306,152,154
Nuwakot,53,Sundaradevi,5,41,205,102,103
Nuwakot,53,Sundaradevi,6,49,231,120,111
Nuwakot,53,Sundaradevi,7,39,177,93,84
Nuwakot,53,Sundaradevi,8,56,286,148,138
Nuwakot,53,Sundaradevi,9,44,215,109,106
Nuwakot,54,Sunkhani,1,37,211,105,106
Nuwakot,54,Sunkhani,2,58,247,127,120
Nuwakot,54,Sunkhani,3,56,245,112,133
Nuwakot,54,Sunkhani,4,48,188,86,102
Nuwakot,54,Sunkhani,5,45,199,93,106
Nuwakot,54,Sunkhani,6,67,260,128,132
Nuwakot,54,Sunkhani,7,76,397,198,199
Nuwakot,54,Sunkhani,8,43,207,95,112
Nuwakot,54,Sunkhani,9,103,495,253,242
